ID,Description,Must flag
VFG000838gbWP000738068,(stx2B) shiga-like toxin II B subunit encoded by bacteriophage BP-933W [Stx (VF0206) - Exotoxin (VFC0235)] [Escherichia coli O157:H7 str. EDL933],TRUE
VFG000676gbAAD32411,(lef) anthrax toxin lethal factor precursor [Anthrax toxin (VF0142) - Exotoxin (VFC0235)] [Bacillus anthracis str. Sterne],FALSE
VFG000677gbAAD32414,"(pagA) anthrax toxin moiety, protective antigen [Anthrax toxin (VF0142) - Exotoxin (VFC0235)] [Bacillus anthracis str. Sterne]",FALSE
VFG016239gbWP001099551,(GBAA_RS27765) hemolysin III family protein [Hemolysin III homolog (VF0656) - Exotoxin (VFC0235)] [Bacillus anthracis str. Ames Ancestor],FALSE
VFG016268gbWP000751851,(nheA) non-hemolytic enterotoxin A [Nhe (VF0533) - Exotoxin (VFC0235)] [Bacillus anthracis str. Sterne],FALSE
VFG000680gbAAF13661,"(capA) CapA, required for Poly-gamma-glutamate transport [Capsule (VF0141) - Immune modulation (VFC0258)] [Bacillus anthracis]",FALSE
VFG000681gbAAF13662,"(capC) CapC, involved in Poly-gamma-glutamate synthesis [Capsule (VF0141) - Immune modulation (VFC0258)] [Bacillus anthracis]",FALSE
VFG016320gbWP000095613,(piplc) phosphatidylinositol diacylglycerol-lyase [Phosphatidylinositol-specific phospholipase C (PI-PLC) (VF0661) - Exotoxin (VFC0235)] [Bacillus anthracis str. Ames Ancestor],FALSE
VFG016328gbWP000730990,(plcA) phospholipase C [Phosphatidylcholine-preferring phospholipase C (PC-PLC) (VF0662) - Exotoxin (VFC0235)] [Bacillus anthracis str. Ames Ancestor],FALSE
VFG016346gbWP001035927,(BAS_RS06430) immune inhibitor A [InhA (VF0536) - Exoenzyme (VFC0251)] [Bacillus anthracis str. Sterne],FALSE
VFG016362gbWP000959117,(hal) heme-acquisition leucine-rich repeat protein [Hal (VF0587) - Nutritional/Metabolic factor (VFC0272)] [Bacillus anthracis str. Sterne],FALSE
VFG049980gbWP000200715,(asbE) petrobactin biosynthesis protein AsbE [Petrobactin (VF0584) - Nutritional/Metabolic factor (VFC0272)] [Bacillus anthracis str. Sterne],FALSE
VFG049986gbWP000877695,(asbF) petrobactin biosynthesis 3-dehydroshikimate dehydratase AsbF [Petrobactin (VF0584) - Nutritional/Metabolic factor (VFC0272)] [Bacillus anthracis str. Sterne],FALSE
VFG044209gbWP000722819,(GBAA_RS23155) iron-siderophore ABC transporter substrate-binding protein [Petrobactin (VF0584) - Nutritional/Metabolic factor (VFC0272)] [Bacillus anthracis str. Ames Ancestor],FALSE
VFG044210gbWP001061683,(fhuB) Fe(3+)-hydroxamate ABC transporter permease FhuB [Petrobactin (VF0584) - Nutritional/Metabolic factor (VFC0272)] [Bacillus anthracis str. Ames Ancestor],FALSE
VFG044211gbWP000587815,(isdG) heme oxygenase [NEAT-type hemophore-mediated heme uptake system (VF0672) - Nutritional/Metabolic factor (VFC0272)] [Bacillus anthracis str. Ames Ancestor],FALSE
